,discount,learning rate,mf weight,mb weight,repetition,subject
196,0.46675205,0.86436796,2.5245762,4.3306527,0.21049209,4
197,0.67489994,0.6182031,1.9045486,2.6040764,0.34714666,5
198,0.5596767,0.55106753,2.1246762,1.4147791,0.08473374,6
199,0.17303593,0.75155836,2.039773,2.2172458,0.51966214,7
200,0.2944256,0.29061854,2.2702003,5.3241243,0.52211064,8
201,0.5433272,0.8072278,3.3820574,2.0919156,0.45992172,9
202,0.6992421,0.23950201,2.718035,0.467785,0.31846288,10
203,0.4172559,0.47267956,3.9066029,2.2805934,0.85066134,11
204,0.31163114,0.2094432,0.5275754,1.8905423,0.6452847,12
205,0.68623656,0.59547514,1.5829256,1.1843309,0.110254504,13
206,0.2803627,0.7990181,1.8298713,3.8004808,0.35126567,14
207,0.24816552,0.2280397,2.219235,1.0191284,0.13190351,15
208,0.17040293,0.6557732,1.3839567,0.7177724,0.18963611,16
209,0.6314678,0.5603573,4.07876,5.4839897,0.9015503,17
210,0.7013248,0.36796728,5.137759,3.5364828,0.62758553,18
211,0.22241235,0.5612817,1.8526572,1.2099602,0.084290035,19
212,0.4149905,0.72515553,2.4803727,0.93861187,0.16531292,20
213,0.7310281,0.59024256,5.641628,5.522626,0.8367643,21
214,0.37210616,0.33394295,4.340989,5.524349,0.42106226,22
215,0.73030543,0.15543178,4.8612747,2.0814037,0.6446972,23
216,0.08463974,0.7438566,3.7441127,2.5213199,0.2843863,0
217,0.5587014,0.36893752,5.1608944,2.3533344,0.52584696,1
218,0.29274622,0.6534093,1.8226423,3.9653397,0.10130722,2
219,0.10838556,0.8636669,4.7869425,3.923443,0.10317126,3
220,0.3176004,0.76988494,3.0036883,3.4396362,0.1411897,4
221,0.49176592,0.82211626,4.070133,4.0126896,0.6576862,5
222,0.5010944,0.4938923,2.7979953,1.0941141,0.08298798,6
223,0.56627256,0.74763983,1.2939522,2.072295,0.091360204,7
224,0.33541143,0.39664033,4.885333,5.073148,0.57534504,8
225,0.7737476,0.47445634,2.0213106,0.5625878,0.065196835,9
226,0.6172474,0.27421406,3.947465,0.3263004,0.60784334,10
227,0.6792714,0.5004744,3.2485423,0.8303102,0.41404328,11
228,0.29207915,0.40037286,1.4905742,3.4648938,0.51832247,12
229,0.7772473,0.674009,3.652658,1.6749008,0.22382943,13
230,0.46528703,0.8581134,3.475028,3.656396,0.116602115,14
231,0.32618442,0.3474263,2.9074528,2.0547023,0.5031882,15
232,0.37146112,0.7658291,1.3291394,1.7503935,0.30412844,16
233,0.4561524,0.42057398,4.1742353,4.4171324,0.088666335,17
234,0.42112395,0.37077668,4.1830544,4.267153,0.92871624,18
235,0.091870196,0.6607632,3.5634348,1.358104,0.1478078,19
236,0.36021253,0.61751455,2.1368098,0.6584981,0.1457409,20
237,0.84799916,0.43814856,3.4794426,5.7903743,0.7948321,21
