,locs0,locs1,locs2,subject
263,-2.1138,0.4272847,0.71169543,23
264,-0.071822435,0.31983614,-0.3989957,0
265,1.4152136,-0.15809384,-1.1027316,1
266,1.2092867,1.3312232,1.559382,2
267,0.5282872,0.3400014,2.4991808,3
268,3.0392842,1.1588577,1.5721201,4
269,-4.6846685,0.98853827,-1.4688125,5
270,-2.3375266,0.3478327,0.15368003,6
271,1.0731847,-0.0027046204,-0.55744475,7
272,-0.75275576,-2.8517332,-1.6326385,8
273,-0.22524104,0.45522958,1.6793646,9
274,-3.048553,0.8737178,-0.91592216,10
275,0.9546244,-0.31637347,1.2550702,11
276,-1.3339927,-0.74350727,-0.09518814,12
277,2.194207,0.7723973,0.8659797,13
278,-2.0708566,0.13739258,-0.91919273,14
279,-2.8902435,-0.36572433,1.8688266,15
280,-2.0393324,-0.23749349,-0.004738517,16
281,1.0892024,0.057106115,1.6922226,17
282,-3.5643375,-0.2127412,-1.7928776,18
283,2.1768806,1.1711622,2.5120366,19
284,0.9450655,0.1356774,1.5125006,20
285,1.7959462,-4.659311,-1.0122736,21
286,0.8944614,0.7203575,0.288657,22
287,-2.6053364,0.23506126,0.43253854,23
288,1.640526,0.99857384,-0.6891773,0
289,2.3089733,-0.22431432,-0.89645594,1
290,0.10092175,1.4411422,1.4035628,2
291,0.47863182,-0.2652341,0.45677978,3
292,0.85687524,1.4551698,1.3652066,4
293,0.027222157,0.16805416,-2.0561473,5
294,-2.8997173,-1.1846384,-0.73868895,6
295,2.1094499,0.58865327,-0.23362823,7
296,-1.9519682,-2.2343805,-2.0930846,8
297,0.47026366,0.65751415,1.7454439,9
298,-2.5922658,0.51811785,0.048214376,10
299,1.0865216,-0.8693398,-0.34406257,11
300,0.08462909,-1.05913,-0.40215605,12
301,1.1996315,0.6455837,1.5391685,13
302,-0.9553805,0.43784678,0.9160641,14
303,-2.399063,0.20769316,2.575557,15
304,-2.5389726,0.16913418,0.08997084,16
305,0.044052005,-0.012327693,1.8338417,17
306,-3.0100644,2.2200155,-0.93098307,18
307,1.3789532,0.37769336,1.7741989,19
308,-0.44134724,1.082319,2.6117334,20
309,2.209425,-1.6392822,-0.45880786,21
310,1.7803432,1.2099335,0.47035813,22
311,-3.0330353,-0.06350288,0.6762154,23
312,0.29603675,1.5971234,0.029979946,0
313,0.72227466,-0.0028452482,-1.07551,1
314,-0.07570279,1.4329807,1.9197937,2
315,1.4659975,0.087564155,1.0111998,3
316,-1.9941611,2.355328,1.5469722,4
317,-0.649091,0.41136056,-2.7430625,5
318,-2.4237044,-1.0877712,-1.0659285,6
319,1.7087672,1.0353669,-0.9510198,7
320,-6.3928204,-2.7170343,-1.7474846,8
321,0.5279999,0.8118681,2.1915624,9
322,-2.2428076,0.8752376,-0.24872634,10
323,0.096195936,0.15385297,1.159115,11
324,-0.3055876,-0.68124294,-0.43831253,12
325,1.221348,0.28025377,1.9972181,13
326,-1.7673863,-1.1347034,-0.39411628,14
327,-3.6249096,-0.006456703,1.4484446,15
328,-1.7878959,0.16812778,0.09865835,16
329,1.3890604,-0.13382757,1.5113766,17
330,-3.3437004,0.040375292,-2.411054,18
331,0.24585938,0.44975471,0.5897788,19
