,discount,learning rate,mf weight,mb weight,repetition,subject
80,0.18161434,0.84127045,0.9318093,0.4803558,0.06929235,8
81,0.22875118,0.6299572,1.0559859,0.8329873,0.16711977,9
82,0.42085496,0.74135596,1.270632,0.79423046,0.08792644,10
83,0.116129704,0.74463606,0.75724894,0.40154573,0.094690725,11
84,0.28639355,0.79393625,0.8624902,0.38100493,0.24961673,12
85,0.3232846,0.48579934,0.5293476,1.0142912,0.31367016,13
86,0.41821998,0.2631757,1.0514662,0.5097775,0.18267933,14
87,0.24695331,0.70269966,1.1530693,0.6930119,0.12113922,15
88,0.2611056,0.7194733,1.8158231,0.5609226,0.14600869,16
89,0.038613293,0.6879471,0.7951218,0.9925373,0.14559737,17
90,0.24528001,0.53474116,0.44218925,1.1871405,0.07453071,18
91,0.26497972,0.68597704,1.0893587,0.5374563,0.12426052,19
92,0.45219827,0.4860632,0.8578545,0.4765789,0.05106862,20
93,0.27822155,0.2733331,1.1044687,1.0805392,0.24390094,21
94,0.15912679,0.44006523,0.9294386,0.55607533,0.080441594,22
95,0.23166241,0.78216195,1.1652092,0.49263823,0.040797528,23
96,0.37514853,0.57137483,0.6486145,1.2670857,0.1539685,0
97,0.23932299,0.708062,0.84505713,0.7045554,0.043212436,1
98,0.1690171,0.6945251,1.2369051,1.0403011,0.2199824,2
99,0.234946,0.61159176,0.8833772,0.5035157,0.15731302,3
100,0.22170152,0.4893452,0.8068798,0.7254046,0.1713024,4
101,0.14173442,0.12876128,0.8573141,0.4462847,0.08585592,5
102,0.30252615,0.6740067,1.0017543,0.71903104,0.11277532,6
103,0.28236198,0.5840544,0.80658853,0.7312983,0.21488196,7
104,0.34861276,0.88033485,0.9261577,0.5835165,0.09683862,8
105,0.16459179,0.6244621,0.8315386,0.88681316,0.06410055,9
106,0.5062501,0.868534,0.34818485,1.2419496,0.23086527,10
107,0.23806159,0.8811944,1.1379917,0.6196421,0.119270064,11
108,0.22186877,0.71609724,1.0784807,0.6182333,0.387078,12
109,0.12423118,0.6910163,1.8145847,0.49299994,0.0785439,13
110,0.38354173,0.17643596,0.4827362,0.9476357,0.07146532,14
111,0.4226454,0.49616688,0.40411708,0.40376395,0.09919286,15
112,0.13970959,0.70580524,1.6427748,0.4945135,0.33375338,16
113,0.44641834,0.8904676,0.65101737,0.741144,0.11102505,17
114,0.32640153,0.70525354,1.2481717,1.8232952,0.047571514,18
115,0.315027,0.6569361,0.64227796,1.3538922,0.07465389,19
116,0.28809884,0.7514043,1.3845018,0.6444593,0.09079103,20
117,0.102223456,0.6920389,3.0113258,2.1375837,0.6916114,21
118,0.086670265,0.6330936,1.0572963,0.6466428,0.16559277,22
119,0.22315538,0.7511288,0.8071734,0.42067766,0.115621194,23
120,0.13457604,0.6995031,1.4063281,1.3022257,0.12547801,0
121,0.39338088,0.676463,0.75528324,0.53570175,0.10680039,1
122,0.23123002,0.68742007,1.2854382,0.7142019,0.14804423,2
123,0.06843926,0.59097314,1.0382861,0.61859417,0.17357054,3
124,0.29689226,0.8174462,1.2772241,0.7545242,0.10845825,4
125,0.1466752,0.2101738,1.4209505,0.74912465,0.083912246,5
126,0.17040823,0.8452096,1.3415831,0.6088603,0.14307639,6
127,0.33564174,0.8034304,0.8957094,0.5757834,0.1927837,7
128,0.12695988,0.56193453,0.83509666,0.512283,0.10077843,8
129,0.19020489,0.5155723,1.4570028,0.60278195,0.11430373,9
130,0.41922942,0.8089444,0.9726099,0.8050413,0.17858973,10
131,0.10082857,0.8949569,0.6935797,0.6678104,0.10694127,11
132,0.30209124,0.611096,0.6205599,0.562577,0.469966,12
133,0.14305507,0.86444837,1.6236874,1.2489483,0.15194802,13
134,0.40003702,0.13400804,0.4133429,0.54356307,0.1441851,14
135,0.2274302,0.6327098,1.5777558,0.8372313,0.069387496,15
136,0.24127454,0.3981973,0.91370904,0.5503651,0.13392343,16
137,0.15703078,0.81731635,1.444701,0.6462581,0.05071674,17
138,0.19348264,0.5948738,1.8262622,1.2646519,0.08528292,18
139,0.6742199,0.57257617,0.41666573,0.96707636,0.28147212,19
140,0.27119613,0.5683907,0.43008032,1.1996782,0.1624074,20
141,0.2580509,0.5328756,1.2472142,2.2120175,0.28489044,21
142,0.10765473,0.7025802,1.2115346,0.5531989,0.24868867,22
143,0.23394205,0.61666566,0.73887265,0.31443465,0.1432887,23
144,0.1734097,0.49029604,1.2805486,1.1617694,0.15057643,0
145,0.24483804,0.6262181,1.025025,0.7264481,0.088782735,1
146,0.2599934,0.7182282,1.573271,1.357333,0.20341547,2
147,0.23092486,0.55729735,0.6337849,0.26675197,0.23385122,3
148,0.21973611,0.50923437,0.42451382,0.79993916,0.08136604,4
149,0.08407131,0.24444759,2.1582506,0.8937909,0.16178837,5
150,0.09995666,0.69467413,0.8225733,1.5787072,0.16652334,6
151,0.32748607,0.76583976,0.7371553,0.5807897,0.20714429,7
152,0.22342771,0.7778403,0.61447346,0.67620546,0.14579865,8
153,0.2420526,0.30425203,0.74618167,0.76325786,0.060652852,9
154,0.21356016,0.60841346,0.85195565,0.48944834,0.23101787,10
155,0.32182756,0.7269106,0.60954463,0.57418156,0.11216601,11
156,0.29021004,0.68403935,0.75519514,0.37922603,0.23497438,12
157,0.14750254,0.5455506,1.4751389,0.68395346,0.1363729,13
158,0.45241594,0.16416599,0.46112686,0.5639847,0.049103897,14
