,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
18960,0.2343153,0.6353512,4.270803,4.1171455,10,0.46085912,0.5212114,0.64375603,0.65076756,3.4229932,2.891805,5.552685,4.52674
18961,0.75392264,0.043452267,4.335425,2.431029,11,0.5410338,0.5558396,0.043361664,0.08683964,5.8079586,3.8212252,2.8920698,3.7385259
18962,0.25090697,0.7249112,3.880773,3.7313676,12,0.2832759,0.37024975,0.5831162,0.62677324,4.439723,2.9542732,0.9243032,2.852126
18963,0.117152326,0.29159495,4.6572766,2.3385782,13,0.04219389,0.10975407,0.24903256,0.23113458,5.5317655,2.3671308,2.523285,2.7209346
18964,0.24053776,0.57465273,0.67467797,2.557442,14,0.1154325,0.22279115,0.5955821,0.62386173,0.95203936,1.580993,2.8950095,3.1280167
18965,0.24488059,0.58755773,0.35309634,0.82014024,15,0.055960655,0.23120044,0.9656323,0.75285155,0.64943147,0.78305346,1.2614079,1.0170022
18966,0.42690045,0.5385538,0.62267077,1.2740227,16,0.98046404,0.5577659,0.75334513,0.7519464,0.7787311,1.463625,1.4876801,1.1591189
18967,0.78458744,0.65929514,2.476429,0.69001484,17,0.53191257,0.7663086,0.7061634,0.7074854,5.435806,4.427908,1.4676597,2.0491323
18968,0.922409,0.59022725,4.9889016,4.6517816,18,0.74617314,0.719298,0.5468628,0.5116099,4.5158668,4.344051,4.8820777,2.8619742
18969,0.6314991,0.1795927,3.1810806,2.172388,19,0.65906227,0.53321177,0.10355556,0.11746788,2.9790888,3.8779254,1.6721281,3.6108873
18970,0.27803642,0.4259613,0.8026618,5.483375,20,0.1317761,0.22927292,0.3572244,0.39320076,0.51346743,1.7958107,4.579872,4.7659435
18971,0.4755739,0.73952967,2.0141187,2.216392,21,0.18148541,0.23032472,0.72801006,0.683286,3.9245682,2.0146391,3.0931678,3.3861785
