,policy rate,reward rate,dec temp,habitual tendency,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp,true habitual tendency,inferred habitual tendency
23720,0.53346443,0.50028455,3.9646747,0.61275566,20,0.77958024,0.592863,0.53021646,0.52499294,6.7652407,5.5775633,0.8130783,0.56170386
23721,0.17331496,0.5272701,5.1073503,0.6060917,21,0.26070565,0.3754117,0.6680133,0.3930567,5.3281307,4.183738,0.53978044,0.30415246
23722,0.13219742,0.53660685,4.392343,0.5247209,22,0.11648238,0.14466052,0.4268036,0.5794008,2.597178,3.3561354,0.92653316,0.6051985
23723,0.40321836,0.2945732,2.9414892,0.50487393,23,0.22188091,0.5615824,0.41881877,0.38839152,4.699958,4.138864,0.23160917,0.481174
23724,0.52923703,0.69948727,3.988392,0.17951818,24,0.44340914,0.42096633,0.57273144,0.67272764,5.076198,6.200191,0.79868376,0.5761354
23725,0.7492327,0.16940454,4.835935,0.28075454,25,0.6740664,0.74810684,0.24491507,0.18543401,5.3693852,4.534276,0.52231336,0.55521595
23726,0.64352036,0.68916774,2.0338593,0.74114794,26,0.7606486,0.44022825,0.7150698,0.70965326,3.346636,2.469898,0.93410194,0.532144
23727,0.48184726,0.3020839,6.472922,0.21578941,27,0.29702747,0.6618417,0.3833328,0.32009003,5.0001607,6.670544,0.18854415,0.20215338
23728,0.4924802,0.5206843,5.687297,0.39152953,28,0.5225805,0.46367824,0.3601607,0.42744523,4.926164,5.634919,0.6750629,0.30528015
23729,0.84941256,0.7219071,3.8868237,0.58094275,29,0.25875527,0.35120013,0.48496366,0.7073642,1.1027529,1.8870395,0.36350018,0.3712208
23730,0.9048683,0.57879674,1.4679778,0.780151,30,0.6179895,0.5925059,0.5174321,0.53668994,2.2154722,2.8488512,0.13518286,0.21600115
23731,0.34666654,0.5906274,3.8112717,0.4838071,31,0.55647236,0.53419095,0.85770285,0.67492884,1.309568,1.6376799,0.07021934,0.15677246
23732,0.5247027,0.20207748,4.7074614,0.9312313,32,0.434308,0.6108175,0.5388506,0.2988979,6.950209,5.4765654,0.8654447,0.8238579
23733,0.5742306,0.61396766,1.9865944,0.30745873,33,0.7131536,0.68276095,0.63897735,0.6905576,3.8588507,2.7308037,0.2877097,0.3079328
23734,0.30962864,0.58945876,4.166047,0.3519163,34,0.2646432,0.39338437,0.6889816,0.5451654,6.645124,4.6880655,0.23830009,0.32777917
23735,0.3388722,0.7922629,4.5000544,0.5472554,35,0.50924104,0.5341545,0.7668203,0.6948941,3.1120348,4.250472,0.6364869,0.6353578
23736,0.8125058,0.72377026,4.147424,0.38171914,36,0.9817239,0.64263296,0.7940237,0.5155729,3.0653806,4.37527,0.9464425,0.41512316
23737,0.10129246,0.48744452,4.0936804,0.2538618,37,0.5527359,0.5387786,0.32525927,0.4284071,4.8317733,5.062106,0.05611396,0.12341212
23738,0.8196026,0.29219973,3.3498626,0.93528515,38,0.5969322,0.69710475,0.3403291,0.4671468,3.8648877,4.1540556,0.7848072,0.64635426
23739,0.6872693,0.33812755,4.8990326,0.78458947,39,0.47846323,0.51199037,0.40608037,0.4987276,6.4477005,6.638764,0.6439919,0.7067361
23740,0.16937922,0.44058833,4.9152427,0.5107732,40,0.24001819,0.2668621,0.6832051,0.56920034,5.632673,5.4308085,0.82425606,0.69016397
23741,0.4850852,0.20501342,2.8303533,0.1713715,41,0.28274637,0.50734484,0.13823956,0.19002615,2.1127577,3.0506456,0.29502183,0.17132224
23742,0.73800164,0.6550326,6.3477445,0.51133835,42,0.8317952,0.5833698,0.5540806,0.5741327,4.096379,4.474902,0.3889482,0.23552789
