,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
100,0.5471201,0.8262382,100,0.17225698,0.15635824,4.377519,3.6514072,0.16468455,0.24730074
101,0.567193,0.69429076,101,0.042737026,0.037606418,4.827369,4.851096,0.5530852,0.6778272
102,0.6856818,0.9910563,102,0.6510587,0.8396894,2.31438,3.792246,0.2749356,0.09800786
103,0.26752838,0.10491246,103,0.63505715,0.8125806,4.661436,5.1084743,0.3141237,0.54632294
104,0.18847023,0.31672096,104,0.058731284,0.04955381,4.5827165,4.6340017,0.63347214,0.411229
105,0.12071052,0.09063417,105,0.61843985,0.6393406,2.053656,2.9093552,0.7309981,0.7443178
106,0.4946518,0.08283347,106,0.12581909,0.12452626,6.547366,4.823278,0.40523383,0.18190718
107,0.66085196,0.77877456,107,0.46308258,0.47085756,6.9864435,6.8721633,0.25139895,0.09402853
108,0.04042402,0.027216017,108,0.27457318,0.14753842,3.1889827,1.93223,0.68145937,0.34342402
109,0.71589935,0.68307585,109,0.38708153,0.38705862,6.404127,6.0183597,0.6582142,0.59663945
110,0.4133451,0.6865622,110,0.75112754,0.5945964,2.0944076,1.9233572,0.64876425,0.6963039
111,0.5806146,0.6304764,111,0.29273638,0.23711556,5.516642,4.363877,0.5694317,0.38420117
112,0.5293572,0.83706,112,0.6813559,0.6114525,2.9401026,2.3164167,0.16196933,0.08438367
113,0.6187282,0.6878892,113,0.46652183,0.48568678,5.9093714,4.5481358,0.7113933,0.58678806
114,0.52635646,0.49027437,114,0.8042162,0.9877585,4.9112177,2.3494287,0.7843194,0.92806315
115,0.8117401,0.8344471,115,0.34968573,0.38804686,3.7481947,4.6545706,0.62545896,0.9808647
116,0.5049111,0.73372996,116,0.5933977,0.65788907,2.3979774,2.0173802,0.21241803,0.020606756
117,0.71016794,0.9360012,117,0.66601264,0.52495587,1.9510534,1.83164,0.3762087,0.27289444
118,0.6471828,0.8649164,118,0.2731374,0.3168757,5.9851832,5.2666016,0.59857655,0.9858175
119,0.5378319,0.8746357,119,0.18914649,0.18002856,6.582987,6.104359,0.26244867,0.62673527
120,0.28160554,0.03989309,120,0.3596502,0.4157778,5.91917,5.823929,0.49492535,0.09640956
121,0.6025682,0.6276872,121,0.68941057,0.9728351,1.7646599,3.2308004,0.12174497,0.14276087
122,0.6877221,0.6694258,122,0.4787208,0.41515815,6.336183,5.716769,0.6114639,0.47844875
123,0.69522434,0.5749912,123,0.07936084,0.07959181,4.588317,5.3745375,0.8352788,0.76288116
124,0.4099383,0.26821935,124,0.7526339,0.6961321,2.957756,1.2361048,0.47513735,0.9678647
125,0.22688195,0.14912307,125,0.733106,0.98180205,2.3393354,4.7095194,0.7483311,0.7130345
126,0.57130206,0.38152248,126,0.37380347,0.36367303,4.3385735,3.7170482,0.4949186,0.426445
127,0.62721837,0.80331063,127,0.78305596,0.86714685,5.2008247,3.9895258,0.7734668,0.80565536
128,0.68299973,0.7449843,128,0.55093646,0.7019902,5.7543297,6.736253,0.45172352,0.24891275
129,0.4567425,0.11282545,129,0.26529253,0.33550978,6.005316,6.5454955,0.30783126,0.19898415
130,0.33554742,0.34961408,130,0.68904614,0.87440217,3.5388281,4.013472,0.72664404,0.67675495
131,0.7671376,0.84335905,131,0.37338796,0.4776895,1.915634,1.3137283,0.625897,0.49517918
132,0.76777446,0.7342169,132,0.68220913,0.9164935,2.5799599,2.1253839,0.79822224,0.7914166
133,0.1439377,0.1634574,133,0.5523413,0.3849308,3.3768091,3.186778,0.5868715,0.42682517
134,0.37936214,0.43308294,134,0.53899646,0.51029134,4.885761,4.8540926,0.44495577,0.3645898
135,0.67896605,0.6285797,135,0.12683395,0.09513229,6.5224743,6.605879,0.7137091,0.7115088
136,0.56923413,0.73862016,136,0.5014968,0.73236156,4.6967745,6.6327114,0.29855323,0.04901719
137,0.6582762,0.9845002,137,0.4435513,0.58031684,7.659327,6.816633,0.1753313,0.4065705
138,0.16513912,0.36378318,138,0.6730924,0.51871675,2.3504026,1.6922084,0.50950515,0.2908463
139,0.6218733,0.8561537,139,0.49792156,0.36353666,3.0946796,2.6350868,0.77778965,0.6001609
140,0.586883,0.8121178,140,0.73975486,0.6787722,5.1918,3.1021433,0.8142513,0.8998941
141,0.33344275,0.30208486,141,0.4721986,0.5077688,7.3145695,6.8209033,0.7309903,0.47479147
142,0.6719739,0.1382916,142,0.6009829,0.40007973,4.0997276,1.2845724,0.576832,0.40088642
143,0.77190256,0.7394065,143,0.6241261,0.6212452,6.04453,4.1651683,0.7624932,0.68101674
144,0.14705195,0.09218484,144,0.017337289,0.014446318,6.636736,6.1696877,0.7832564,0.7586581
145,0.062744126,0.063556135,145,0.40376905,0.34656024,4.146936,3.6526794,0.71460867,0.44290692
146,0.3588299,0.2758984,146,0.7486766,0.79539293,4.792811,5.1304417,0.39622077,0.27942228
147,0.04320146,0.011128306,147,0.33514988,0.0068663955,2.028438,2.0879204,0.55928063,0.10970211
148,0.51734877,0.26963633,148,0.6541062,0.6045675,5.3280745,5.8981495,0.7410935,0.8517561
149,0.4440084,0.37903422,149,0.6063004,0.5719317,5.7260556,3.9346552,0.673145,0.7947458
150,0.45108753,0.4206493,150,0.35439384,0.16852558,4.964526,2.9701629,0.7666233,0.97763807
151,0.40630504,0.6432902,151,0.2394859,0.24396795,6.7473226,6.3520913,0.15092456,0.055351675
152,0.7618116,0.16395998,152,0.6073676,0.862837,3.0784495,5.108179,0.6828223,0.06385225
153,0.48429766,0.39788806,153,0.5233839,0.6288448,5.3672824,6.6202154,0.83452195,0.929303
154,0.57085305,0.29811215,154,0.7227413,0.8948442,1.8851367,4.2051234,0.29996833,0.105219126
155,0.43547535,0.7169128,155,0.57647395,0.3139097,2.4495137,2.5976672,0.21532132,0.19583333
156,0.48625818,0.53632075,156,0.5387339,0.7608376,3.4350522,4.406937,0.29923147,0.09753764
157,0.49686587,0.19372761,157,0.44045395,0.2407301,4.6702566,2.3759794,0.37865296,0.016917348
158,0.5657024,0.93434805,158,0.19261682,0.19295055,7.021729,6.50235,0.28038874,0.40389222
159,0.7479872,0.5931119,159,0.74759877,0.6788643,5.323202,3.8160183,0.62546325,0.7827972
160,0.8104757,0.97887135,160,0.34689593,0.28674662,7.803144,6.727473,0.7136126,0.8481621
161,0.5059458,0.45147836,161,0.6293529,0.6462136,3.2010543,2.3982606,0.36913353,0.5173151
162,0.36256388,0.3455479,162,0.74093163,0.8860425,4.1775575,5.2285156,0.7980743,0.5695414
