,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
103,0.3326365,103,0.62580943,1.1083204,0.92220604
104,0.47768512,104,0.43857154,1.8464068,0.80313116
105,0.3534544,105,0.32872865,1.1399046,0.8602477
106,0.24261914,106,0.71923643,0.61094606,0.5325288
107,0.35699177,107,0.6269771,0.8994171,0.63277924
108,0.25035283,108,0.63854873,0.83291554,0.52514565
109,0.30094707,109,0.472141,2.0821826,2.181838
110,0.30960387,110,0.37339014,0.8389177,0.7494486
111,0.45207372,111,0.32152387,1.4212908,1.2421622
112,0.2199135,112,0.5607397,0.9619868,0.73761606
113,0.55758256,113,0.55481297,2.1759238,2.8422136
114,0.21560957,114,0.5903204,0.80929065,0.54946923
115,0.35244665,115,0.6023734,0.9423939,0.49225295
116,0.32853267,116,0.62861097,1.1160622,0.73498666
117,0.34595245,117,0.72782725,0.9471295,0.7239785
118,0.17704071,118,0.4037245,1.3518316,0.8199662
119,0.24060962,119,0.7308459,0.6679452,0.51548666
120,0.37549543,120,0.6416521,0.99939966,0.71109533
121,0.35033947,121,0.5268879,2.5553749,2.8694704
122,0.27849537,122,0.7989338,1.5842532,2.9578438
123,0.23162848,123,0.6383976,0.54053366,0.45154902
124,0.49234802,124,0.4875479,1.6661171,2.231639
125,0.77572316,125,0.48539197,1.5714972,0.57020825
126,0.3830677,126,0.48605072,1.2216803,1.0564979
127,0.8246837,127,0.30197722,2.187629,0.47184083
128,0.26782617,128,0.64549106,0.7097555,0.6952156
129,0.29200804,129,0.7091247,0.48500583,0.39908424
130,0.36583373,130,0.41317913,3.5282989,1.1620835
131,0.34380025,131,0.77356935,1.0061414,2.5502932
132,0.5690387,132,0.7315818,1.4796909,2.342957
133,0.24625166,133,0.64058864,1.6622571,1.2954502
134,0.5761786,134,0.2744522,0.99836475,0.6133111
135,0.22318405,135,0.5757167,1.3315905,0.76973313
136,0.5624725,136,0.7378539,2.165137,2.2146432
137,0.4665721,137,0.5585756,1.6147801,1.1152714
138,0.46902105,138,0.6462473,1.7008408,1.4691954
139,0.52799404,139,0.4687904,1.0498482,0.63281465
140,0.63375336,140,0.6583767,0.85247374,0.52698404
141,0.54858154,141,0.6315131,2.2303545,2.2933254
142,0.365634,142,0.78786457,0.7867539,2.3149672
143,0.27812752,143,0.72450364,0.51782197,0.46535364
144,0.3544848,144,0.66569513,0.7808562,0.57622206
145,0.41091242,145,0.64731103,0.8784077,0.70060724
146,0.55657077,146,0.7398313,1.0951874,0.7665028
147,0.79518956,147,0.7011608,2.1910326,0.61847955
148,0.45125312,148,0.64088374,1.4944527,2.8268754
149,0.37780467,149,0.77178013,1.1829354,2.0444415
150,0.4705345,150,0.380583,2.1311283,1.1332494
151,0.40481937,151,0.6102283,1.6732715,2.8629992
152,0.26209462,152,0.716031,0.6187933,0.5112509
153,0.22512473,153,0.44803262,1.7287341,0.7155563
154,0.30386817,154,0.45658574,1.8050911,0.78175867
155,0.26280418,155,0.68960774,0.52004784,0.43872777
156,0.63333607,156,0.45179537,1.0425472,0.6811548
157,0.27812934,157,0.6792392,0.62045187,0.541938
158,0.82923496,158,0.70883983,1.8204077,0.5878099
159,0.34605122,159,0.55634487,1.7087256,2.5336514
160,0.58484155,160,0.4849942,1.4254737,0.68427086
161,0.61573184,161,0.28312477,0.97155404,0.5836127
162,0.19609754,162,0.5373056,0.84076905,0.6875007
163,0.39671674,163,0.34945405,1.3666573,0.5922685
164,0.2656632,164,0.70827293,0.86846805,0.5613706
165,0.49186182,165,0.45273522,1.7126784,1.4534543
166,0.6431835,166,0.5740365,0.84641045,0.53200763
167,0.40796265,167,0.56959194,0.751984,0.66769385
168,0.503647,168,0.38024244,0.9350509,0.9439646
169,0.3698003,169,0.5714908,2.1958919,2.3211553
170,0.262438,170,0.71260124,0.67990553,0.4886178
171,0.83056885,171,0.56076574,2.1480973,0.5761972
172,0.46006745,172,0.6278732,2.0635684,1.1558712
173,0.62009156,173,0.6149103,1.7262017,1.4558681
174,0.25096485,174,0.57156056,1.2450799,0.6204408
175,0.3151352,175,0.6379972,0.79100424,0.50311226
176,0.19009289,176,0.655636,1.0567243,0.6598928
177,0.6498496,177,0.52014685,1.9749897,1.5547312
178,0.662605,178,0.626605,1.8637266,2.1782656
179,0.59612256,179,0.5200603,3.0836735,1.466614
180,0.4001806,180,0.49148414,1.1311872,0.5800376
181,0.3401389,181,0.5625608,0.7621818,0.5536838
182,0.6545557,182,0.6158248,1.8950057,0.80455124
183,0.19976792,183,0.71777683,0.60902476,0.51708627
184,0.44929618,184,0.66896504,3.303431,2.3428657
185,0.41707796,185,0.6296008,2.4491565,4.02009
186,0.37553498,186,0.5802556,1.7726443,2.620317
187,0.56936014,187,0.7141342,1.3165468,0.6804584
